firma_adi,kategoriler,logo_url
dimes,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-dimes-250x250-1.jpg
diyar kablo,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-diyar-kablo-250x250-1.jpg
doga,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-doga-250x250-1.jpg
dogus insaat ve ticaret as,Başlıca Referanslar,https://ensotek.com/upload/1/ensotek-referanslari-dogus-insaat-ve-ticaret-as-250x250-1.jpg
dogus yag,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-dogus-yag-250x250-1.jpg
dok duru yag,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-dok-duru-yag-250x250-1.jpg
doktim,Metal,https://ensotek.com/upload/2/ensotek-referanslari-doktim-250x250-1.jpg
dr oetker,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-dr-oetker-250x250-1.jpg
draco,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-draco-250x250-1.jpg
dunlop,Otomotiv,https://ensotek.com/upload/1/ensotek-referanslari-dunlop-250x250-1.jpg
dystar,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-dystar-250x250-1.jpg
ecoplast,Plastik,https://ensotek.com/upload/3/ensotek-referanslari-ecoplast-250x250-1.jpg
eczacibasi vitra,Çimento - Maden,https://ensotek.com/upload/17/eczacibasi-vitra-250x250-1.jpg
ege proses,Mühendislik - Makine,https://ensotek.com/upload/17/ege-proses-250x250-1.png
egesil kimya min,Kimya,https://ensotek.com/upload/17/egesil-kimya-min-250x250-1.png
ekiz yag,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-ekiz-yag-250x250-1.jpg
elif plastik,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/11/ensotek-referanslari-elif-plastik-250x250-1.jpg
elitas grup,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/16/elitas-grup-250x250-1.png
engin group,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-engin-group-250x250-1.jpg
ephesus min,Kimya,https://ensotek.com/upload/17/ephesus-min-250x250-1.png
er demir,Metal,https://ensotek.com/upload/1/ensotek-referanslari-er-demir-250x250-1.jpg
erbosan,Metal,https://ensotek.com/upload/1/ensotek-referanslari-erbosan-250x250-1.jpg
erc,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-erc-250x250-1.jpg
erciyas,Metal,https://ensotek.com/upload/2/ensotek-referanslari-erciyas-250x250-1.jpg
erel sert krom,Metal,https://ensotek.com/upload/2/ensotek-referanslari-erel-sert-krom-250x250-1.jpg
erel uluslararasi,Metal,https://ensotek.com/upload/16/erel-uluslararasi-250x250-1.png
erkon,Metal,https://ensotek.com/upload/2/ensotek-referanslari-erkon-250x250-1.jpg
ersan ambalaj ve yalitim san tic as,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/11/ensotek-referanslari-ersan-ambalaj-ve-yalitim-san-tic-as-250x250-1.jpg
eryap grup,Plastik,https://ensotek.com/upload/3/ensotek-referanslari-eryap-grup-250x250-1.jpg
esa kompozit,Kimya,https://ensotek.com/upload/10/ensotek-referanslari-esa-kompozit-250x250-1.jpg
esen mikronize maden san ve tic as,Kimya,https://ensotek.com/upload/10/ensotek-referanslari-esen-mikronize-maden-san-ve-tic-as-250x250-1.jpg
euas,Başlıca Referanslar,https://ensotek.com/upload/1/ensotek-referanslari-euas-250x250-1.jpg
euas_1,Enerji,https://ensotek.com/upload/17/ensotek-referanslari-euas_1-250x250-1.jpg
fabal aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-fabal-aluminyum-250x250-1.jpg
falken,Otomotiv,https://ensotek.com/upload/1/ensotek-referanslari-falken-250x250-1.jpg
fatih profil min,Metal,https://ensotek.com/upload/16/fatih-profil-min-250x250-1.jpg
fenis aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-fenis-aluminyum-250x250-1.jpg
festival hali,Tekstil,https://ensotek.com/upload/1/ensotek-referanslari-festival-hali-250x250-1.jpg
flokser textile,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-flokser-textile-250x250-1.jpg
fmc hydraulic,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-fmc-hydraulic-250x250-1.jpg
formal aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-formal-aluminyum-250x250-1.jpg
fourkim min,Tekstil,https://ensotek.com/upload/17/fourkim-min-250x250-1.jpg
galleria avm,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-galleria-avm-250x250-1.jpg
gbs gentas,Metal,https://ensotek.com/upload/2/ensotek-referanslari-gbs-gentas-250x250-1.jpg
gedik,Başlıca Referanslar,https://ensotek.com/upload/15/gedik-250x250-1.jpg
gemciler,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-gemciler-250x250-1.jpg
gencer,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-gencer-250x250-1.jpg
gentas,Metal,https://ensotek.com/upload/2/ensotek-referanslari-gentas-250x250-1.jpg
gentas kimya,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-gentas-kimya-250x250-1.jpg
gimsan,Metal,https://ensotek.com/upload/2/ensotek-referanslari-gimsan-250x250-1.jpg
giptas iplik san tic as,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-giptas-iplik-san-tic-as-250x250-1.jpg
gkn,Metal,https://ensotek.com/upload/16/gkn-250x250-1.jpg
global holding,Enerji,https://ensotek.com/upload/1/ensotek-referanslari-global-holding-250x250-1.jpg
green park hotels,AVM - İş Merkezi - Otel,https://ensotek.com/upload/1/ensotek-referanslari-green-park-hotels-250x250-1.jpg
greeneco enerji elektrik uretim as,Enerji,https://ensotek.com/upload/16/greeneco-enerji-elektrik-uretim-as-250x250-1.png
grinballs,Metal,https://ensotek.com/upload/16/grinballs-250x250-1.png
guney celik hasir ve demir mamulleri san tic as,Metal,https://ensotek.com/upload/2/ensotek-referanslari-guney-celik-hasir-ve-demir-mamulleri-san-tic-as-250x250-1.jpg
guryag,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-guryag-250x250-1.jpg
guven iplik,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-guven-iplik-250x250-1.jpg
halavet gida,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-halavet-gida-250x250-1.jpg
hasan kucukarslan metal,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-hasan-kucukarslan-metal-250x250-1.jpg
hascelik group,Alüminyum - Tel Çekme; Metal,https://ensotek.com/upload/1/ensotek-referanslari-hascelik-group-250x250-1.jpg
hatboru,Metal,https://ensotek.com/upload/2/ensotek-referanslari-hatboru-250x250-1.jpg
hayat kagit,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/11/ensotek-referanslari-hayat-kagit-250x250-1.jpg
hellenic,Metal,https://ensotek.com/upload/16/hellenic-250x250-1.jpg
hes hacilar,Alüminyum - Tel Çekme; Metal,https://ensotek.com/upload/1/ensotek-referanslari-hes-hacilar-250x250-1.jpg
